timestamp,round_id,service_name,hostname,url,tags,probe_type,success,latency_ms,latency_p95_ms,jitter_ms,packet_loss_pct,status_code,error_kind,error_message,details
2025-12-18T14:34:09.724178+00:00,2025-12-18T14:33:43.717406+00:00,zoom,zoom.us,https://zoom.us/,video_call,dns,True,18.501302000004216,,,,,ok,,ip=170.114.52.2
2025-12-18T14:34:10.489610+00:00,2025-12-18T14:33:43.717406+00:00,zoom,zoom.us,https://zoom.us/,video_call,http,True,761.7500809992634,,,,200,ok,,status_class=2xx;bytes=473628;redirects=1
2025-12-18T14:34:10.605690+00:00,2025-12-18T14:33:43.717406+00:00,teams,teams.microsoft.com,https://teams.microsoft.com/,video_call,ping,True,38.63834100047825,36.749935999978334,3.2527964995097136,0.0,,ok,,min=36.32974700121849;max=42.83534000023792;samples=42.84;36.75;36.33
2025-12-18T14:34:10.623761+00:00,2025-12-18T14:33:43.717406+00:00,teams,teams.microsoft.com,https://teams.microsoft.com/,video_call,dns,True,17.949730001419084,,,,,ok,,ip=52.123.129.14
2025-12-18T14:34:11.156036+00:00,2025-12-18T14:33:43.717406+00:00,teams,teams.microsoft.com,https://teams.microsoft.com/,video_call,http,True,532.0967369989376,,,,200,ok,,status_class=2xx;bytes=231138;redirects=3
2025-12-18T14:34:11.354426+00:00,2025-12-18T14:33:43.717406+00:00,meet,meet.google.com,https://meet.google.com/,video_call,ping,True,66.0708270000517,65.30850499984808,6.9177750001472305,0.0,,ok,,min=62.22129900015716;max=70.68267700014985;samples=65.31;70.68;62.22
2025-12-18T14:34:11.386756+00:00,2025-12-18T14:33:43.717406+00:00,meet,meet.google.com,https://meet.google.com/,video_call,dns,True,32.22537100009504,,,,,ok,,ip=172.217.17.142
2025-12-18T14:34:11.708544+00:00,2025-12-18T14:33:43.717406+00:00,meet,meet.google.com,https://meet.google.com/,video_call,http,True,319.2515470000217,,,,200,ok,,status_class=2xx;bytes=4157;redirects=0
2025-12-18T14:34:11.882738+00:00,2025-12-18T14:33:43.717406+00:00,youtube,www.youtube.com,https://www.youtube.com/,"streaming,video",ping,True,58.003443999647665,53.584717999910936,13.836715000252298,0.0,,ok,,min=46.376091999263735;max=74.04952199976833;samples=74.05;53.58;46.38
2025-12-18T14:34:11.902008+00:00,2025-12-18T14:33:43.717406+00:00,youtube,www.youtube.com,https://www.youtube.com/,"streaming,video",dns,True,19.143613000778714,,,,,ok,,ip=142.251.38.238
2025-12-18T14:34:12.449943+00:00,2025-12-18T14:33:43.717406+00:00,youtube,www.youtube.com,https://www.youtube.com/,"streaming,video",http,True,546.056299999691,,,,200,ok,,status_class=2xx;bytes=689162;redirects=0
2025-12-18T14:34:12.471849+00:00,2025-12-18T14:33:43.717406+00:00,netflix,www.netflix.com,https://www.netflix.com/,"streaming,video",dns,True,21.781503999591223,,,,,ok,,ip=52.214.181.141
2025-12-18T14:34:13.996095+00:00,2025-12-18T14:33:43.717406+00:00,netflix,www.netflix.com,https://www.netflix.com/,"streaming,video",http,True,1520.8240159990964,,,,200,ok,,status_class=2xx;bytes=3070198;redirects=1
2025-12-18T14:34:14.201185+00:00,2025-12-18T14:33:43.717406+00:00,spotify,open.spotify.com,https://open.spotify.com/,"streaming,audio",ping,True,68.28518466621365,67.35801200011338,2.449929999784217,0.0,,ok,,min=66.65189799969085;max=70.84564399883675;samples=67.36;66.65;70.85
